Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
Spinx #199 (GVL),7252 Moorefield Memorial Hwy,29657,Liberty,SC,Island Brands,Island Coastal Lager,34.778118,-82.674416,1,range_interpolation,7252 Moorefield Memorial Hwy,,"Liberty, SC 29657",7252,Moorefield Memorial Hwy,,,Liberty,SC,Pickens County,29657,US,TIGER/Line® from the US Census Bureau,gcod_usnrdreegad52wbfbsgcaqftcycx3
Spinx #100 (GVL),619 Rutherford Street,29609,Greenville,SC,Island Brands,Island Coastal Lager,34.867244,-82.40517,1,rooftop,619 Rutherford St,,"Greenville, SC 29609",619,Rutherford St,,,Greenville,SC,Greenville County,29609,US,Greenville,gcod_usnhxyjjhkg2vzk3w8sqb7eawm5z2
Spinx #128 (GVL),498 The Pkwy,29650,Greer,SC,Island Brands,Island Coastal Lager,34.871493,-82.254104,1,rooftop,498 The Pkwy,,"Greer, SC 29650",498,The Pkwy,,,Greer,SC,Greenville County,29650,US,Greenville,gcod_usn8ratsbxjy88g97mgk2wb86vted
19 Wine & Spirits (GVL),101 Verdae Boulevard,29607,Greenville,SC,Island Brands,Island Coastal Lager,34.82158,-82.341595,1,rooftop,101 Verdae Blvd,,"Greenville, SC 29607",101,Verdae Blvd,,,Greenville,SC,Greenville County,29607,US,Greenville,gcod_usnsayucjgtnte8hbwembsp8dcxff
Spinx #209 (GVL),901 Marue Dr,29605,Greenville,SC,Island Brands,Island Coastal Lager,34.82153,-82.41716,1,rooftop,901 Marue Dr,,"Greenville, SC 29605",901,Marue Dr,,,Greenville,SC,Greenville County,29605,US,Greenville,gcod_usnptylz2dum7hhfudln4pn9n5tr2
Spinx #223 (GVL),4283 Calhoun Memorial Hwy,29640,Easley,SC,Island Brands,Island Coastal Lager,34.829527,-82.518726,1,range_interpolation,4283 Calhoun Memorial Hwy,,"Easley, SC 29640",4283,Calhoun Memorial Hwy,,,Easley,SC,Pickens County,29640,US,TIGER/Line® from the US Census Bureau,gcod_usnr4lyx6epdbdphn76xeszggce5b
Publix #0531 (GVL),411 The Pkwy,29650,Greer,SC,Island Brands,Island Coastal Lager,34.87139,-82.256104,1,rooftop,411 The Pkwy,,"Greer, SC 29650",411,The Pkwy,,,Greer,SC,Greenville County,29650,US,Greenville,gcod_usn8ratsbxjy88g9lj5kx788kepzc
Spinx #108 (GVL),1233 West Wade Hampton Boulevard,29650,Greer,SC,Island Brands,Island Coastal Lager,34.941711,-82.257882,1,rooftop,1233 W Wade Hampton Blvd,,"Greer, SC 29650",1233,W Wade Hampton Blvd,,,Greer,SC,Greenville County,29650,US,Greenville,gcod_usnwaykas5l2p8xdf2a3eh96qs2wf
Spinx #138 (GVL),1519 White Horse Rd,29605,Greenville,SC,Island Brands,Island Coastal Lager,34.788851,-82.416681,1,rooftop,1519 A White Horse Rd,,"Greenville, SC 29605",1519 A,White Horse Rd,,,Greenville,SC,Greenville County,29605,US,Statewide SC,gcod_usncecm3md2tazh94guksm6ts6c43
Spinx #152 (GVL),180 S Highway 11,29696,West Union,SC,Island Brands,Island Coastal Lager,34.757424,-83.045873,1,rooftop,180 S Hwy 11,,"West Union, SC 29696",180,S Hwy 11,,,West Union,SC,Oconee County,29696,US,Oconee,gcod_usnwdgarcesdvr2cggpw3psvfzxp2
Spinx #208 (GVL),1304 Fork Shoals Rd,29605,Greenville,SC,Island Brands,Island Coastal Lager,34.745037,-82.356011,1,rooftop,1304 Fork Shoals Rd,,"Greenville, SC 29605",1304,Fork Shoals Rd,,,Greenville,SC,Greenville County,29605,US,Greenville,gcod_usnsmctzqmvbqfxfnudqdlfcnpl35
Spinx #263 (GVL),3601 Highway 153,29611,Greenville,SC,Island Brands,Island Coastal Lager,34.789367,-82.487882,1,rooftop,3601 Highway 153,,"Greenville, SC 29611",3601,Highway 153,,,Greenville,SC,Anderson County,29611,US,Statewide SC,gcod_usntkkf69tu3gvl8zuqu52vz7zfch
Publix #1464 (GVL),479 Bypass 72 NW,29649,Greenwood,SC,Island Brands,Island Coastal Lager,34.206226,-82.18609,1,rooftop,479 Bypass 72 NW,,"Greenwood, SC 29649",479,Bypass 72 NW,,,Greenwood,SC,Greenwood County,29649,US,Statewide SC,gcod_usnnmqughm6qb5dbaw6k2kbve57xg
Spinx #225 (GVL),220 East Greer Street,29654,Honea Path,SC,Island Brands,Island Coastal Lager,34.445553,-82.390589,1,rooftop,220 E Greer St,,"Honea Path, SC 29654",220,E Greer St,,,Honea Path,SC,Anderson County,29654,US,Statewide SC,gcod_usn8emvpjltng8d2xb8rzwn6vecqe
Spinx #131 (GVL),1625 NE Main St,29681,Simpsonville,SC,Island Brands,Island Coastal Lager,34.76584,-82.282373,1,rooftop,1625 NE Main St,,"Simpsonville, SC 29681",1625,NE Main St,,,Simpsonville,SC,Greenville County,29681,US,Greenville,gcod_usnx9h2qa9wq6sp2kherzsggdjlbc
Spinx #117 (GVL),1943 Montague Ave,29649,Greenwood,SC,Island Brands,Island Coastal Lager,34.225615,-82.196251,1,rooftop,1943 Montague Avenue Ext,,"Greenwood, SC 29649",1943,Montague Avenue Ext,,,Greenwood,SC,Greenwood County,29649,US,Statewide SC,gcod_usns2r542yuz98mgpu3zqnjp68537
Publix #0205 (GVL),6525 Calhoun Memorial Hwy,29640,Easley,SC,Island Brands,Island Coastal Lager,34.820052,-82.584794,0.87,rooftop,6525 Calhoun Mem Hwy,,"Easley, SC 29642",6525,Calhoun Mem Hwy,,,Easley,SC,Pickens County,29642,US,Pickens,gcod_usnmztzra78ljhq7br7tjmz6aj9kb
Spinx #119 (GVL),102 Bypass 25 NE,29646,Greenwood,SC,Island Brands,Island Coastal Lager,34.196557,-82.134749,1,rooftop,102 Bypass 25 NE,,"Greenwood, SC 29646",102,Bypass 25 NE,,,Greenwood,SC,Greenwood County,29646,US,Statewide SC,gcod_usnlrwlkvkb3mwc5rmgqbacd23984
Spinx #165 (GVL),5598 N Highway 14,29356,Landrum,SC,Island Brands,Island Coastal Lager,35.114223,-82.22462,1,rooftop,5598 N Hwy 14,,"Landrum, SC 29356",5598,N Hwy 14,,,Landrum,SC,Greenville County,29356,US,Greenville,gcod_usnjgpqpxdrzg552dk78k8ph9nxw9
Spinx #134 (GVL),1301 Fairview Rd,29680,Simpsonville,SC,Island Brands,Island Coastal Lager,34.661505,-82.261661,1,rooftop,1301 Fairview Rd,,"Simpsonville, SC 29680",1301,Fairview Rd,,,Simpsonville,SC,Greenville County,29680,US,Greenville,gcod_usn3km2mnstmem8e92ctpca8puqnh
Spinx #297 (GVL),4161 White Horse Rd,29611,Greenville,SC,Island Brands,Island Coastal Lager,34.831677,-82.447192,1,rooftop,4161 White Horse Rd,,"Greenville, SC 29611",4161,White Horse Rd,,,Greenville,SC,Greenville County,29611,US,Greenville,gcod_usnetdbdd587hmhf75tbjdjb9r2hb
