Retailer,Address,City,State,"Postal Code",Supplier,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key"
"Mill Street Tavern (CHS)","504 Mill Street","Mount Pleasant",SC,29464,"Island Brands",32.792223,-79.878275,1,range_interpolation,"504 Mill St",,"Mount Pleasant, SC 29464",504,"Mill St",,,"Mount Pleasant",SC,"Charleston County",29464,US,"TIGER/Line® from the US Census Bureau",gcod_usnjsyjpx3chj324butnmk4adbs9g
"Coconut Joes - Folly (CHS)","11 Center Street","Folly Beach",SC,29439,"Island Brands",32.655451,-79.941113,1,rooftop,"11 Center St",,"Folly Beach, SC 29439",11,"Center St",,,"Folly Beach",SC,"Charleston County",29439,US,"Statewide SC",gcod_usnv3klw4pdqne2akm57bqhufk9d9
"Emeline Hotel (CHS)","181 Church Street",Charleston,SC,29401,"Island Brands",32.781359,-79.929773,1,rooftop,"181 Church St",,"Charleston, SC 29401",181,"Church St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnhsulg398axrx2pqyvnqsywuqb8
"Neighborhood Tap House - A Phos (CHS)","5101 Ashley Phosphate Rd #101","North Charleston",SC,29418,"Island Brands",32.915686,-80.099597,1,rooftop,"5101 Ashley Phosphate Rd","Ste 101","North Charleston, SC 29418",5101,"Ashley Phosphate Rd",Ste,101,"North Charleston",SC,"Dorchester County",29418,US,"Statewide SC",gcod_usnbye2wmwgmxmtc9yu2ywpbhxj59
"Charleston Sports Pub-Mt Pleasant (CHS)","1909 Highway 17 North","Mount Pleasant",SC,29464,"Island Brands",32.831361,-79.827203,1,rooftop,"1909 Highway 17",,"Mount Pleasant, SC 29464",1909,"Highway 17",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnd45597cgx27k5lhxnq8qadcbr5
"Fin & Crab Salty Mikes (CHS)","9 Lockwood Drive",Charleston,SC,29401,"Island Brands",32.778683,-79.950305,1,rooftop,"9 Lockwood Dr",,"Charleston, SC 29401",9,"Lockwood Dr",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnfcvwscm8as8yf3kgm8frh5ewq9
"Triangle - Avondale (CHS)","828 Savannah Highway",Charleston,SC,29407,"Island Brands",32.782508,-79.986952,1,rooftop,"828 Savannah Hwy",,"Charleston, SC 29407",828,"Savannah Hwy",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn84spdtwcpkaebx99f3j8cynana
"Woodward Tavern (CHS)","1971 Riveria Drive","Mount Pleasant",SC,29464,"Island Brands",32.821492,-79.816627,1,rooftop,"1971 Riviera Dr",,"Mount Pleasant, SC 29464",1971,"Riviera Dr",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn9k9nyzstxbqqdnl8ke89yxpgn7
"Red Drum (CHS)","803 Coleman Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.792974,-79.865911,1,rooftop,"803 Coleman Blvd",,"Mount Pleasant, SC 29464",803,"Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnstsra729yz4t4tyx55hmw7pax2
"Marriott- HHI Barony (CHS)","4 Grasslawn Avenue","Hilton Head Island",SC,29928-5583,"Island Brands",32.210083,-80.682399,1,rooftop,"4 Grasslawn Ave",,"Hilton Head Island, SC 29928",4,"Grasslawn Ave",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usn7sxjwrhq6pmr7dyple2s6w3cm4
"Rotolos (CHS)","420 Cross Park Lane",Summerville,SC,29486,"Island Brands",33.061039,-80.150653,1,rooftop,"420 Cross Park Ln",,"Summerville, SC 29486",420,"Cross Park Ln",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usnjxpyd4takwbgdhle2pehvfkjq6
"CHS Airport – Delaware (CHS)","5500 International Boulevard",Charleston,SC,29418-6900,"Island Brands",32.884199,-80.034632,1,rooftop,"5500 International Blvd",,"North Charleston, SC 29418",5500,"International Blvd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnl87s96erxaavhkz2slylhk3jt5
"Moe's Crosstown Tavern - Rutledge (CHS)","714 Rutledge Avenue",Charleston,SC,29403,"Island Brands",32.802254,-79.952868,1,rooftop,"714 Rutledge Ave",,"Charleston, SC 29403",714,"Rutledge Ave",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnx6uj7zngdtza84bucwbtr7m52c
"Sesame - Mt P (CHS)","675 Johnnie Dodds Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.807126,-79.878413,1,rooftop,"675 Johnnie Dodds Blvd",,"Mount Pleasant, SC 29464",675,"Johnnie Dodds Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnjz6pduu3pt2af3t7ypzx2zdpqa
"Moxy Charleston (CHS)","547 Meeting Street",Charleston,SC,29403,"Island Brands",32.799429,-79.942822,1,rooftop,"547 Meeting St",,"Charleston, SC 29403",547,"Meeting St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnjbtkxpk6sfw96u6n4z6hg4bc4e
"Patriots Point Links (CHS)","1 Patriots Point Road","Mount Pleasant",SC,29464,"Island Brands",32.787711,-79.898739,1,rooftop,"1 Patriots Point Rd",,"Mount Pleasant, SC 29464",1,"Patriots Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnnxr62b4pg664fnqufvdnjwjuh3
"Edisto Island Yacht Club (CHS)","3768 Docksite Road","Edisto Island",SC,29438,"Island Brands",32.492353,-80.327862,1,rooftop,"3768 Dock Site Rd",,"Edisto Island, SC 29438",3768,"Dock Site Rd",,,"Edisto Island",SC,"Colleton County",29438,US,"Colleton County",gcod_usnwus26544mt9lexw2qtjv8l97z7
"Ralphies Pizza - Ridgeland (CHS)","61 Riverwalk Boulevard",Ridgeland,SC,29936,"Island Brands",32.320704,-80.936498,1,rooftop,"61 Riverwalk Blvd",,"Ridgeland, SC 29936",61,"Riverwalk Blvd",,,Ridgeland,SC,"Jasper County",29936,US,Jasper,gcod_usnq4jxf3gjj4fkdzk96dqkkqv5j4
"Wescott Plantation (CHS)","5000 Wescott Club Drive",Summerville,SC,29485,"Island Brands",32.945563,-80.138214,1,rooftop,"5000 Wescott Club Dr",,"Summerville, SC 29485",5000,"Wescott Club Dr",,,Summerville,SC,"Dorchester County",29485,US,"Statewide SC",gcod_usnc7x4npzgwny935wywebt5up3wa
"Ashley Lanes Tavern (CHS)","1568 Sam Rittenberg Boulevard",Charleston,SC,29407,"Island Brands",32.808061,-80.008386,1,rooftop,"1568 Sam Rittenberg Blvd",,"Charleston, SC 29407",1568,"Sam Rittenberg Blvd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usngraghaq6me4f9k88rjshqkaqf4
"Art's (CHS)","413 Coleman Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.790378,-79.875337,1,rooftop,"413 Coleman Blvd",,"Mount Pleasant, SC 29464",413,"Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnstsra729yz4t4z56qmbj96yxj9
"Chas Beer Works (CHS)","480 King Street",Charleston,SC,29403,"Island Brands",32.790143,-79.939046,1,rooftop,"480 King St",,"Charleston, SC 29403",480,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juasvx2mg94c9tw2
"Kersey House (CHS)","117 West Luke Avenue",Summerville,SC,29483,"Island Brands",33.021051,-80.175402,1,rooftop,"117 W Luke Ave",,"Summerville, SC 29483",117,"W Luke Ave",,,Summerville,SC,"Dorchester County",29483,US,"Charleston County GIS",gcod_usn5ag9pqcd5z4tf2v4q6yfjnt487
"Buffalo Wild Wings - Mt P (CHS)","715 Johnnie Dodds Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.808484,-79.875876,1,rooftop,"715 Johnnie Dodds Blvd",,"Mount Pleasant, SC 29464",715,"Johnnie Dodds Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnjz6pduu3pt2afpkxhy5mkcth5c
"Cantaritos Mexican Kitchen (CHS)","214 Okatie Village Drive",Okatie,SC,29909,"Island Brands",32.295596,-80.944109,1,rooftop,"214 Okatie Village Dr",,"Okatie, SC 29909",214,"Okatie Village Dr",,,Okatie,SC,"Beaufort County",29909,US,Beaufort,gcod_usnuwqhchtncauff3en6c25ntpvp7
"Mellow Mushroom-Bluffton (CHS)","878 Fording Island Road",Bluffton,SC,29910-8678,"Island Brands",32.266011,-80.861058,1,rooftop,"878 US-278",,"Bluffton, SC 29910",878,US-278,,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usncty3nzmya4rz4lmy58xxel9myh
"Jinya Ramen Bar (CHS)","95 Mathews Drive F 3-5","Hilton Head Island",SC,29926,"Island Brands",32.21104,-80.700752,1,rooftop,"95 Mathews Dr","Ste B5","Hilton Head Island, SC 29926",95,"Mathews Dr",Ste,B5,"Hilton Head Island",SC,"Beaufort County",29926,US,Beaufort,gcod_usnnp5hl2mq29fvaut28rzm9uyup4
"Beach Club (CHS)","300 Tarpon Boulevard","Fripp Island",SC,29920,"Island Brands",32.315586,-80.479077,1,rooftop,"300 Tarpon Blvd",,"Saint Helena Island, SC 29920",300,"Tarpon Blvd",,,"Saint Helena Island",SC,"Beaufort County",29920,US,Beaufort,gcod_usnqj84w7bbqd5a3m2q77jzngp7ph
"Gilligan's-Main/17 (CHS)","160-A Main Road","Johns Island",SC,29455,"Island Brands",32.798189,-80.109272,1,rooftop,"160 Main Rd",,"Johns Island, SC 29455",160,"Main Rd",,,"Johns Island",SC,"Charleston County",29455,US,"Statewide SC",gcod_usnukbeh6qvvuhp7ezsmeul56eaje
"Rodney Scotts BBQ (CHS)","1011 King Street",Charleston,SC,29403,"Island Brands",32.80343,-79.951308,1,rooftop,"1011 King St",,"Charleston, SC 29403",1011,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juazjhad5gtnpmfa
"Griffon (CHS)","18 Vendue Range",Charleston,SC,29401,"Island Brands",32.778985,-79.926219,1,rooftop,"18 Vendue Range",,"Charleston, SC 29401",18,"Vendue Range",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnjjq9g7q5s39b84pazpy4c63nj6
"Oyster Reef (CHS)","155 High Bluff Road","Hilton Head Island",SC,29926-1847,"Island Brands",32.243772,-80.714175,1,rooftop,"155 High Bluff Rd",,"Hilton Head Island, SC 29926",155,"High Bluff Rd",,,"Hilton Head Island",SC,"Beaufort County",29926,US,Beaufort,gcod_usndejw2mw2vw7x6nxc96a5hjx7mg
"Q On Bay (CHS)","822 Bay Street",Beaufort,SC,29902-5566,"Island Brands",32.430681,-80.671566,1,rooftop,"822 Bay St",,"Beaufort, SC 29902",822,"Bay St",,,Beaufort,SC,"Beaufort County",29902,US,Beaufort,gcod_usnmenusalcargu4fpfjwb773gzn2
"The Longboard (CHS)","2213 Middle Street","Sullivans Island",SC,29482,"Island Brands",32.762675,-79.836263,1,rooftop,"2213 Middle St",,"Sullivans Island, SC 29482",2213,"Middle St",,,"Sullivans Island",SC,"Charleston County",29482,US,"Statewide SC",gcod_usnyjfwp23bczmgakdq37echd8nlg
"Codfather - Park Circle (CHS)","4254 Spruill Avenue","North Charleston",SC,29405,"Island Brands",32.87239,-79.979824,1,rooftop,"4254 Spruill Ave",,"North Charleston, SC 29405",4254,"Spruill Ave",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usnnmyzuqn3225hhz8mjzq9fgh433
"Sunset Pizzeria (CHS)","2625 North Okatie Highway",Ridgeland,SC,29936,"Island Brands",32.336349,-80.929029,1,rooftop,"2625 N Okatie Hwy",,"Ridgeland, SC 29936",2625,"N Okatie Hwy",,,Ridgeland,SC,"Jasper County",29936,US,Jasper,gcod_usn9xzbeup4uqt83pbxl525u7lh48
"Hometeam BBQ - Downtown (CHS)","126 Williman Street",Charleston,SC,29403,"Island Brands",32.8092,-79.946443,1,rooftop,"126 Williman St",,"Charleston, SC 29403",126,"Williman St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnkc8n46ej6yx597vkzfwxqbtldh
"Muse (CHS)","82 Society Street",Charleston,SC,29401,"Island Brands",32.783577,-79.933594,1,rooftop,"82 Society St",,"Charleston, SC 29401",82,"Society St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnw8shep9xxmy5gjnfa5aby6h7ha
"Shadowmoss Plantation (CHS)","20 Dunvegan Drive",Charleston,SC,29414,"Island Brands",32.844215,-80.074246,1,range_interpolation,"20 Dunvegan Dr",,"Charleston, SC 29414",20,"Dunvegan Dr",,,Charleston,SC,"Charleston County",29414,US,"TIGER/Line® from the US Census Bureau",gcod_usncfb74y6x6n53ha8un9jjhkd775
"Mac 's Daniel Island (CHS)","259 Seven Farms Drive","Daniel Island",SC,29492-7553,"Island Brands",32.858987,-79.909838,1,rooftop,"259 7 Farms Dr",,"Charleston, SC 29492",259,"7 Farms Dr",,,Charleston,SC,"Berkeley County",29492,US,Berkeley,gcod_usnqr5pfvu9erlv9r73qslvjvuvjh
"Wisconsin Meat & Cheese (CHS)","1027 Folly Road",Charleston,SC,29412,"Island Brands",32.728986,-79.968847,1,rooftop,"1027 Folly Rd",,"Charleston, SC 29412",1027,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,"Statewide SC",gcod_usn8vewwym3yhyn4aqrbjl3eyj7rg
"Brick (CHS)","24 Ann Street",Charleston,SC,29401,"Island Brands",32.7901,-79.937264,0.99,rooftop,"24 Ann St",,"Charleston, SC 29403",24,"Ann St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usny2yqsaeyugm94qfazsuk87pmad
"Easton Porter (CHS)","80A Cannon Street",Charleston,SC,29401,"Island Brands",32.789918,-79.945647,0.99,rooftop,"80 Cannon St",,"Charleston, SC 29403",80,"Cannon St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn44s39ejd8gqphgh8kj39e63wcd
"Charleston Harbor Resort (CHS)","28 Patriots Point Road","Mount Pleasant",SC,29464,"Island Brands",32.786765,-79.906491,1,rooftop,"28 Patriots Point Rd",,"Mount Pleasant, SC 29464",28,"Patriots Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnnxr62b4pg664f4gwmv7vbvrpnb
"Water's Edge Restaurant (CHS)","1407 Shrimp Boat Lane","Mount Pleasant",SC,29464-4379,"Island Brands",32.792781,-79.881837,1,rooftop,"1407 Shrimp Boat Ln",,"Mount Pleasant, SC 29464",1407,"Shrimp Boat Ln",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn4v3j2c7b6t2n868ymg72cf97vd
"St Johns Yacht - Maybank (CHS)","2408 Maybank Highway","Johns Island",SC,29455,"Island Brands",32.753405,-80.013324,1,rooftop,"2408 Maybank Hwy",,"Johns Island, SC 29455",2408,"Maybank Hwy",,,"Johns Island",SC,"Charleston County",29455,US,"Charleston County GIS",gcod_usn4bxjjv5r333f3ayfg52yybrka5
"Dock Side - Edisto (CHS)","3730 Docksite Road","Edisto Island",SC,29438,"Island Brands",32.492302,-80.334952,1,rooftop,"3730 Dock Site Rd",,"Edisto Island, SC 29438",3730,"Dock Site Rd",,,"Edisto Island",SC,"Colleton County",29438,US,"Colleton County",gcod_usnwus26544mt9le56e35wjs74awf
"Home2Suites Mt. Pleasant (CHS)","1650 James Nelson Road","Mount Pleasant",SC,29464,"Island Brands",32.830428,-79.835515,1,rooftop,"1650 James Nelson Rd",,"Mount Pleasant, SC 29464",1650,"James Nelson Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnjun3hq6pp8dngmarfzlq5n9ha8
"Page's Okra Grill - Summerville (CHS)","142 Brighton Park Boulevard",Summerville,SC,29464,"Island Brands",33.042964,-80.140288,0.99,rooftop,"142 Brighton Park Blvd",,"Summerville, SC 29486",142,"Brighton Park Blvd",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usnmelthsh8humh7eu39hcep7nqu5
"The Establishment (CHS)","28 Broad Street",Charleston,SC,29401,"Island Brands",32.776912,-79.928304,1,rooftop,"28 Broad St",,"Charleston, SC 29401",28,"Broad St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnn2jeyly2jsujb988avw2fhvz6h
"Hometeam BBQ - North Mt Pleasant (CHS)","3563 Highway 17 North","Mount Pleasant",SC,29466,"Island Brands",32.879588,-79.763647,1,range_interpolation,"3563 Highway 17",,"Mount Pleasant, SC 29466",3563,"Highway 17",,,"Mount Pleasant",SC,"Charleston County",29466,US,"TIGER/Line® from the US Census Bureau",gcod_usnddsg23a48cxlggfve5ejhna44a
"Uptown Social (CHS)","587 King Street",Charleston,SC,29403,"Island Brands",32.792621,-79.94119,1,rooftop,"587 King St",,"Charleston, SC 29403",587,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juasjb3nbsf4fnp5
"CHS Sports Book - Tanger (CHS)","4950 Centre Pointe Drive","North Charleston",SC,29418,"Island Brands",32.875919,-80.021785,1,rooftop,"4950 Centre Pointe Dr",,"North Charleston, SC 29418",4950,"Centre Pointe Dr",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnlfqaank5hbd4adctaak4fhqjr4
"Boone Hall Plantation (CHS)","1235 Long Point Road","Mount Pleasant",SC,29464,"Island Brands",32.858295,-79.823104,1,rooftop,"1235 Long Point Rd",,"Mount Pleasant, SC 29464",1235,"Long Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Statewide SC",gcod_usnq9vmw4t26q7ee88zz9jjdkd4a4
"Acme Cafe (CHS)","31 J C Long Boulevard","Isle Of Palms",SC,29451,"Island Brands",32.786448,-79.790063,1,rooftop,"31 J C Long Blvd",,"Isle of Palms, SC 29451",31,"J C Long Blvd",,,"Isle of Palms",SC,"Charleston County",29451,US,"Statewide SC",gcod_usn9c8f3rfd5r26c7f5kanazczjgg
"West Beach Conference - Kiawah (CHS)","2 Shipwatch Road","Kiawah Island",SC,29455,"Island Brands",32.592744,-80.121724,1,rooftop,"2 Shipwatch Rd",,"Johns Island, SC 29455",2,"Shipwatch Rd",,,"Johns Island",SC,"Charleston County",29455,US,"Statewide SC",gcod_usn6lfleucnkfrjerdg79d95qhnz9
"Virginia's On King (CHS)","412 King Street",Charleston,SC,29403,"Island Brands",32.787541,-79.937241,1,rooftop,"412 King St",,"Charleston, SC 29403",412,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juav35khll3eez2d
"Catch23 (CHS)","10 Center Street","Folly Beach",SC,29439,"Island Brands",32.655698,-79.940709,1,rooftop,"10 Center St",,"Folly Beach, SC 29439",10,"Center St",,,"Folly Beach",SC,"Charleston County",29439,US,"Statewide SC",gcod_usnv3klw4pdqne2afeshrua79zb6c
"Shuckin Shack Oyster Bar - West Ash (CHS)","40 Grande Oaks Boulevard",Charleston,SC,29414,"Island Brands",32.825072,-80.085321,1,rooftop,"40 Grand Oaks Blvd",,"Charleston, SC 29414",40,"Grand Oaks Blvd",,,Charleston,SC,"Charleston County",29414,US,"Charleston County GIS",gcod_usnrzfyc6tpuuh44sp6f4qk4bggx2
"Bulls Bay Golf (CHS)","995 Bulls Bay Boulevard",Awendaw,SC,29429,"Island Brands",32.903714,-79.716205,1,rooftop,"995 Bulls Bay Blvd",,"Awendaw, SC 29429",995,"Bulls Bay Blvd",,,Awendaw,SC,"Charleston County",29429,US,"Charleston County GIS",gcod_usnuxudcfllvj8b9cwner8rvpdnf7
"Charleston Sports Pub-Maybank (CHS)","1989 Maybank Highway",Charleston,SC,29412,"Island Brands",32.76209,-79.987704,1,rooftop,"1989 Maybank Hwy",,"Charleston, SC 29412",1989,"Maybank Hwy",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usnhlgspal559gt9vpszvfv56pfq5
"A.W. Shucks Seafood Shack (CHS)","208 & 210 King Street",Charleston,SC,29401-3149,"Island Brands",32.857172,-79.907871,0.72,nearest_rooftop_match,"145 210th St",,"Charleston, SC 29492",145,"210th St",,,Charleston,SC,"Berkeley County",29492,US,Berkeley,gcod_usnp42w7942ajrzhyzwzpjl72ejpc
"Top Shelf Catering S/E (CHS)","1235 Long Point Road","Mount Pleasant",SC,29464-9020,"Island Brands",32.858295,-79.823104,1,rooftop,"1235 Long Point Rd",,"Mount Pleasant, SC 29464",1235,"Long Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Statewide SC",gcod_usnq9vmw4t26q7ee88zz9jjdkd4a4
"Washout (CHS)","41 Center Street","Folly Beach",SC,29439,"Island Brands",32.656967,-79.942042,1,rooftop,"41 Center St",,"Folly Beach, SC 29439",41,"Center St",,,"Folly Beach",SC,"Charleston County",29439,US,"Statewide SC",gcod_usnv3klw4pdqne2a6sfge8gt7r3eg
"Capt Woodys-Bluff (CHS)","17 State of Mind Street",Bluffton,SC,29910-6287,"Island Brands",32.238446,-80.861676,1,rooftop,"17 State of Mind St",,"Bluffton, SC 29910",17,"State of Mind St",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usnzah7a59cavmf5cm423uee5rx37
"Chas Harbor Fish House (CHS)","32 Patriots Point Road","Mount Pleasant",SC,29464,"Island Brands",32.787584,-79.906771,1,rooftop,"32 Patriots Point Rd",,"Mount Pleasant, SC 29464",32,"Patriots Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnnxr62b4pg664f4ky7pun5z3jx5
"Mex 1-Sullivans (CHS)","2205 Middle Street","Sullivans Island",SC,29482,"Island Brands",32.762359,-79.837039,1,rooftop,"2205 Middle St",,"Sullivans Island, SC 29482",2205,"Middle St",,,"Sullivans Island",SC,"Charleston County",29482,US,"Statewide SC",gcod_usnyjfwp23bczmgatb2k2a8w6ph2b
"Marriott-North Charleston (CHS)","4770 Goer Drive","North Charleston",SC,29406,"Island Brands",32.872509,-80.009333,1,rooftop,"4770 Goer Dr",,"North Charleston, SC 29406",4770,"Goer Dr",,,"North Charleston",SC,"Charleston County",29406,US,"Charleston County GIS",gcod_usn7bwj9rwauf75gsemm2lmwuh6a8
"Hotel Bennett (CHS)","404 King Street",Charleston,SC,29403,"Island Brands",32.787209,-79.936992,1,rooftop,"404 King St",,"Charleston, SC 29403",404,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juahupfw3uwcnpzd
"Bluffton Seafood (CHS)","27 Doctor Mellichamp Drive",Bluffton,SC,29910,"Island Brands",32.814766,-81.001316,0.79,nearest_rooftop_match,"35 Doctor Ln",,"Varnville, SC 29944",35,"Doctor Ln",,,Varnville,SC,"Hampton County",29944,US,Hampton,gcod_usntbxng44qeg3f7b95wd4ej9pwm7
"Hallmark Hilton Head Club (CHS)","2130 Club Way",Hardeeville,SC,29927,"Island Brands",32.330033,-81.016286,1,rooftop,"2130 Club Way",,"Hardeeville, SC 29927",2130,"Club Way",,,Hardeeville,SC,"Jasper County",29927,US,Jasper,gcod_usnm2uzsptwxmk7czt3g8mrb3czs2
"Pearlz II - Avondale (CHS)","9 Magnolia Road",Charleston,SC,29407,"Island Brands",32.782331,-79.98591,1,rooftop,"9 Magnolia Rd",,"Charleston, SC 29407",9,"Magnolia Rd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn9t5wkxys94er4tevczek755jb5
"Tru Hilton Mt Pleasant (CHS)","1651 Midtown Avenue","Mount Pleasant",SC,29464,"Island Brands",32.819703,-79.838551,1,rooftop,"1651 Midtown Ave",,"Mount Pleasant, SC 29464",1651,"Midtown Ave",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnendd6env6m2x5dbzeth3wyat28
"The Wandering Taps S/E (CHS)","310 Broad Street",Charleston,SC,29401,"Island Brands",32.776058,-79.943279,1,rooftop,"310 Broad St",,"Charleston, SC 29401",310,"Broad St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnn2jeyly2jsujbf554v3s398b2g
"Hotel Indigo (CHS)","250 Johnnie Dodds Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.802938,-79.8967,1,rooftop,"250 Johnnie Dodds Blvd",,"Mount Pleasant, SC 29464",250,"Johnnie Dodds Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnjz6pduu3pt2afel43ugjteclld
"Halls Chophouse - Nexton (CHS)","300 Nexton Square Drive",Summerville,SC,29486-7751,"Island Brands",33.041875,-80.140966,1,rooftop,"300 Nexton Square Dr",,"Summerville, SC 29486",300,"Nexton Square Dr",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usn7dfhxg3xh3uk2wh4rzuqgguyef
"Charleston Union Station (CHS)","652 King Street",Charleston,SC,29403,"Island Brands",32.796194,-79.943588,1,rooftop,"652 King St",,"Charleston, SC 29403",652,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juapd84pbuwrrvs4
"Mac's Place (CHS)","215 East Bay Sreet",Charleston,SC,29401,"Island Brands",32.780644,-79.927454,1,rooftop,"215 E Bay St",,"Charleston, SC 29401",215,"E Bay St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usncncrkar7hbeedqvzsjvfnmpjn7
"Iggy's Pizza - Mt P (CHS)","1226 Ben Sawyer Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.794323,-79.860386,1,range_interpolation,"1226 Ben Sawyer Blvd",,"Mount Pleasant, SC 29464",1226,"Ben Sawyer Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"TIGER/Line® from the US Census Bureau",gcod_usn4drgl74yfzesh5mrtja289gml7
"Matt's Burgers (CHS)","102 South Cedar Street",Summerville,SC,29483,"Island Brands",33.020996,-80.176957,1,rooftop,"102 S Cedar St",,"Summerville, SC 29483",102,"S Cedar St",,,Summerville,SC,"Dorchester County",29483,US,"Charleston County GIS",gcod_usn556ztsm9beb86bcqa28da5yx93
"Charleston Harbor Store (CHS)","32 Patriots Point Road","Mount Pleasant",SC,29464,"Island Brands",32.787584,-79.906771,1,rooftop,"32 Patriots Point Rd",,"Mount Pleasant, SC 29464",32,"Patriots Point Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnnxr62b4pg664f4ky7pun5z3jx5
"Outside Ohana (CHS)","50 Shelter Cove Lane","Hilton Head Island",SC,29928,"Island Brands",32.186665,-80.716827,1,rooftop,"50 Shelter Cove Ln",,"Hilton Head Island, SC 29928",50,"Shelter Cove Ln",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnvtffm9w76pa44ap9a3kjgltb2f
"Sweetwater Cafe, Inc. (CHS)","123 West Richardson Avenue",Summerville,SC,29483,"Island Brands",33.019506,-80.176564,1,rooftop,"123 W Richardson Ave",,"Summerville, SC 29483",123,"W Richardson Ave",,,Summerville,SC,"Dorchester County",29483,US,"Charleston County GIS",gcod_usnas695qq4tgmbf4au8k94jfeff3
