Retailer,Address,City,State,"Postal Code",Supplier,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key"
"Moss Creek (CHS)","100 Devils Elbow Lane","Hilton Head Island",SC,29926-1165,"Southern Barrel Brewing Company",32.251654,-80.814446,1,rooftop,"100 Devils Elbow Ln",,"Hilton Head Island, SC 29926",100,"Devils Elbow Ln",,,"Hilton Head Island",SC,"Beaufort County",29926,US,Beaufort,gcod_usn67pbphuqtn4d28qa24trny89vd
"Oyster Reef (CHS)","155 High Bluff Road","Hilton Head Island",SC,29926-1847,"Southern Barrel Brewing Company",32.243772,-80.714175,1,rooftop,"155 High Bluff Rd",,"Hilton Head Island, SC 29926",155,"High Bluff Rd",,,"Hilton Head Island",SC,"Beaufort County",29926,US,Beaufort,gcod_usndejw2mw2vw7x6nxc96a5hjx7mg
"Pub On 61 (CHS)","2366 Ashley River Road",Charleston,SC,29414,"Southern Barrel Brewing Company",32.824624,-80.037847,1,rooftop,"2366 Ashley River Rd",,"Charleston, SC 29414",2366,"Ashley River Rd",,,Charleston,SC,"Charleston County",29414,US,"Charleston County GIS",gcod_usn7l5zh3aw5a9v66hq99rtqxdc55
"Hampton Hall Club (CHS)","170 Hampton Hall Boulevard",Bluffton,SC,29910-7824,"Southern Barrel Brewing Company",32.244279,-80.920341,1,rooftop,"170 Hampton Hall Blvd",,"Bluffton, SC 29910",170,"Hampton Hall Blvd",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usn8udu3m4y5gr394f4n5yql6tt56
"Secession Golf Club (CHS)","20 Gibbs Island Drive",Beaufort,SC,29907,"Southern Barrel Brewing Company",32.395336,-80.651023,1,rooftop,"20 Gibbs Island Dr",,"Ladys Island, SC 29907",20,"Gibbs Island Dr",,,"Ladys Island",SC,"Beaufort County",29907,US,Beaufort,gcod_usnhclqslw49qqn66rex5tuxpeur4
"HGC Shipyard (CHS)","45 Shipyard Drive","Hilton Head Island",SC,29928-4942,"Southern Barrel Brewing Company",32.15689,-80.745589,1,rooftop,"45 Shipyard Dr",,"Hilton Head Island, SC 29928",45,"Shipyard Dr",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usndq6wkpyy5gdue4slbgu3udb5gf
"Locals Only Taproom (CHS)","144 Arrow Road","Hilton Head Island",SC,29928,"Southern Barrel Brewing Company",32.157767,-80.760591,1,rooftop,"144 Arrow Rd",,"Hilton Head Island, SC 29928",144,"Arrow Rd",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usndef4rewg4v7v2xngpzlnmv3nm7
"Belfair Grill (CHS)","200 Belfair Oaks Boulevard",Bluffton,SC,29910-4881,"Southern Barrel Brewing Company",32.28743,-80.855255,1,rooftop,"200 Belfair Oaks Blvd",,"Bluffton, SC 29910",200,"Belfair Oaks Blvd",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usn8s5b73sgy8hxdcabz4rpmymzta
"Lady Island Dockside (CHS)","71 Sea Island Parkway",Beaufort,SC,29907,"Southern Barrel Brewing Company",32.418899,-80.658393,1,rooftop,"71 Sea Island Pkwy",,"Beaufort, SC 29907",71,"Sea Island Pkwy",,,Beaufort,SC,"Beaufort County",29907,US,Beaufort,gcod_usne6p2ye6mzh64cp7vstym3ng2f5
"Lumber Jills (CHS)","4650 Ladson Road",Summerville,SC,29485,"Southern Barrel Brewing Company",32.954107,-80.162233,1,rooftop,"4650 Ladson Rd",,"Summerville, SC 29485",4650,"Ladson Rd",,,Summerville,SC,"Dorchester County",29485,US,"Statewide SC",gcod_usnmgr77dkcx6b3g2kf7thfuenjme
"Oldfield Golf Club (CHS)","190 Oldfield Way",Bluffton,SC,29909-7013,"Southern Barrel Brewing Company",32.327708,-80.903522,1,rooftop,"190 Oldfield Way",,"Bluffton, SC 29909",190,"Oldfield Way",,,Bluffton,SC,"Beaufort County",29909,US,Beaufort,gcod_usn89lat7b9ed2w5dza6kub74wv5e
"Sonesta Resort - HHI (CHS)","122 North Forest Beach Drive","Hilton Head Island",SC,29928-4932,"Southern Barrel Brewing Company",32.152116,-80.733655,1,range_interpolation,"122 N Forest Beach Dr",,"Hilton Head Island, SC 29928",122,"N Forest Beach Dr",,,"Hilton Head Island",SC,"Beaufort County",29928,US,"TIGER/Line® from the US Census Bureau",gcod_usny6pafw6uftbthyfnm5d8zkb498
"NYC Pizza-East Bay (CHS)","190 East Bay Street",Charleston,SC,29401,"Southern Barrel Brewing Company",32.779726,-79.926895,1,rooftop,"190 E Bay St",,"Charleston, SC 29401",190,"E Bay St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usncncrkar7hbeedska9l88mz6j86
"Capt Woodys-HHI (CHS)","14 Executive Park Road","Hilton Head Island",SC,29928,"Southern Barrel Brewing Company",32.150236,-80.756508,1,rooftop,"14 Executive Park Rd",,"Hilton Head Island, SC 29928",14,"Executive Park Rd",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnqpsh5v2te7akdxeceg6sjhpu52
"Nantucket Market - Bluffton (CHS)","1414 Fording Island Road",Bluffton,SC,29910,"Southern Barrel Brewing Company",32.240355,-80.817683,1,rooftop,"1414 US-278",,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
"Hampton Inn - Mt P (CHS)","255 Sessions Way","Mount Pleasant",SC,29464,"Southern Barrel Brewing Company",32.800894,-79.896199,1,rooftop,"255 Sessions Way",,"Mount Pleasant, SC 29464",255,"Sessions Way",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn39sbx8py5thu9l4lnys6w4a2tg
"Bedford Falls CHS (CHS)","430 Meeting Street",Charleston,SC,29403-5526,"Southern Barrel Brewing Company",32.793489,-79.938557,1,rooftop,"430 Meeting St",,"Charleston, SC 29403",430,"Meeting St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnjbtkxpk6sfw96fte3fb43xe84g
"R Bar (CHS)","70 Pennington Drive",Bluffton,SC,29910-6056,"Southern Barrel Brewing Company",32.260922,-80.857314,1,rooftop,"70 Pennington Dr",,"Bluffton, SC 29910",70,"Pennington Dr",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usnhjtzygdqsb26b88s97gwx2pcea
"Extra Virgin Oven - Park Circle (CHS)","1075 East Montague Avenue","North Charleston",SC,29405,"Southern Barrel Brewing Company",32.881299,-79.976973,1,rooftop,"1075 E Montague Ave",,"North Charleston, SC 29405",1075,"E Montague Ave",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usnd57utpkg2zx45fujckpenauj7a
"Club House - Dataw (CHS)","100 Dataw Club Road","Saint Helena",SC,29920,"Southern Barrel Brewing Company",32.432084,-80.581921,1,rooftop,"100 Dataw Club Rd",,"Saint Helena Island, SC 29920",100,"Dataw Club Rd",,,"Saint Helena Island",SC,"Beaufort County",29920,US,Beaufort,gcod_usn5xqp5h6hmkf2gz6sfpvxu3b293
"Bay St Biergarten (CHS)","549 East Bay Street",Charleston,SC,29403,"Southern Barrel Brewing Company",32.792011,-79.931473,1,rooftop,"549 E Bay St",,"Charleston, SC 29403",549,"E Bay St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn9nhveyx42tdrb7t9t9l2lvv4s7
"The Dime - Daniel Island (CHS)","30 River Landing Drive",Charleston,SC,29492,"Southern Barrel Brewing Company",32.855462,-79.903619,1,rooftop,"30 River Landing Dr",,"Daniel Island, SC 29492",30,"River Landing Dr",,,"Daniel Island",SC,"Berkeley County",29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
"Top Dawg Tavern - HHI (CHS)","13 Harbourside Lane","Hilton Head Island",SC,29928-3599,"Southern Barrel Brewing Company",32.18053,-80.728561,1,rooftop,"13 Harbourside Ln",,"Hilton Head Island, SC 29928",13,"Harbourside Ln",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnp2et9n5j9mvdfelz26lefc5hde
"Sea Pines-Quarterdeck (CHS)","149 Lighthouse Road","Hilton Head Island",SC,29928-4343,"Southern Barrel Brewing Company",32.138677,-80.81104,1,rooftop,"149 Lighthouse Rd",,"Hilton Head Island, SC 29928",149,"Lighthouse Rd",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnk2bqyergn4dk6gpsdgwh7xqheg
"Sea Pines-Harbourside (CHS)","149 Lighthouse Road","Hilton Head Island",SC,29928-4343,"Southern Barrel Brewing Company",32.138677,-80.81104,1,rooftop,"149 Lighthouse Rd",,"Hilton Head Island, SC 29928",149,"Lighthouse Rd",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnk2bqyergn4dk6gpsdgwh7xqheg
"Bohemian Bull - Mt Pleasant (CHS)","2668 North Highway 17","Mount Pleasant",SC,29466,"Southern Barrel Brewing Company",32.852607,-79.804843,1,rooftop,"2668 N US-17",,"Mount Pleasant, SC 29466",2668,"N US-17",,,"Mount Pleasant",SC,"Charleston County",29466,US,"Charleston County GIS",gcod_usnzz3lpcxuumr38cje6skfaw5n72
"Sea Pines-Beach Cl (CHS)","87 North Sea Pines Drive","Hilton Head Island",SC,29928-6002,"Southern Barrel Brewing Company",32.125057,-80.786691,1,rooftop,"87 N Sea Pines Dr",,"Hilton Head Island, SC 29928",87,"N Sea Pines Dr",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnegj8ruul5muffl6cqlr7fm3fm4
"Whiskey Jack's (CHS)","2049 Savannah Highway #100",Charleston,SC,29407,"Southern Barrel Brewing Company",32.789865,-80.031377,1,range_interpolation,"2049 Savannah Hwy","Ste 100","Charleston, SC 29407",2049,"Savannah Hwy",Ste,100,Charleston,SC,"Charleston County",29407,US,"TIGER/Line® from the US Census Bureau",gcod_usn84spdtwcpkaebg8mmbss8pd7jd
"Doubletree of HHI (CHS)","36 South Forest Beach Drive","Hilton Head Island",SC,29928,"Southern Barrel Brewing Company",32.139813,-80.759246,1,rooftop,"36 S Forest Beach Dr",,"Hilton Head Island, SC 29928",36,"S Forest Beach Dr",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnkxl9jj2ratkxhfavleplfqmtmb
"May River Grill (CHS)","350 Mount Pelia Road",Bluffton,SC,29910,"Southern Barrel Brewing Company",32.210941,-80.885638,1,rooftop,"350 Mt Pelia Rd",,"Bluffton, SC 29910",350,"Mt Pelia Rd",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usn4y8ayln7p268fz4kkmtr97enr8
"Westin - HHI (CHS)","2 Grasslawn Avenue","Hilton Head Island",SC,29928-5583,"Southern Barrel Brewing Company",32.209219,-80.680921,1,rooftop,"2 Grasslawn Ave",,"Hilton Head Island, SC 29928",2,"Grasslawn Ave",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usn7sxjwrhq6pmr7kw5buphe8yvqe
"Sundown Saloon (CHS)","95 Mathews Drive","Hilton Head Island",SC,29926,"Southern Barrel Brewing Company",32.21104,-80.700752,1,rooftop,"95 Mathews Dr",,"Hilton Head Island, SC 29926",95,"Mathews Dr",,,"Hilton Head Island",SC,"Beaufort County",29926,US,Beaufort,gcod_usnnp5hl2mq29fvaut28rzm9uyup4
"Sea Pines-Plantation (CHS)","100 North Sea Pines Drive","Hilton Head Island",SC,29928-5803,"Southern Barrel Brewing Company",32.126767,-80.788539,1,rooftop,"100 N Sea Pines Dr",,"Hilton Head Island, SC 29928",100,"N Sea Pines Dr",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnegj8ruul5muffzp5awpuuwplve
