Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
One Hot Mamas - HHI (CHS),35 Office Park Road,29928,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.154252,-80.766932,1,rooftop,35 Office Park Rd,"Hilton Head Island, SC 29928",35,Office Park Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnkgetvlln89s3gd9j4k5fajvbyb
McConkeys (CHS),108 Jungle Road,29438,Edisto Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.503652,-80.297892,1,rooftop,108 Jungle Rd,"Edisto Island, SC 29438",108,Jungle Rd,,,Edisto Island,SC,Colleton County,29438,US,Statewide SC,gcod_usnkr3ews84keh3aau5a88a7e272g
One Hot Mama's Bluffton (CHS),104 Buckwalter Parkway,29910-4131,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.28394,-80.912337,1,rooftop,104 Buckwalter Pkwy,"Bluffton, SC 29910",104,Buckwalter Pkwy,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn2w3vzfm7sf9a2wdbghdsezgm29
Lake Jasper RV Village (CHS),44 Camp Lake Drive,29927,Hardeeville,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.32343,-81.038409,1,rooftop,44 Camp Lake Dr,"Hardeeville, SC 29927",44,Camp Lake Dr,,,Hardeeville,SC,Jasper County,29927,US,Jasper,gcod_usnthuksgcw2duq26wpyvl7ypmvue
Sandbar (CHS),101 Pope Avenue,29928-1015,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.143341,-80.751939,1,rooftop,101 Pope Ave,"Hilton Head Island, SC 29928",101,Pope Ave,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnb4qptqe8drxege9qng4wf5rum5
Elliotborough Mini Bar (CHS),18 Percy Street,29403,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.792796,-79.945118,1,rooftop,18 Percy St,"Charleston, SC 29403",18,Percy St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnzq8rwg2pwgsz9d7zy6vb6l2wk6
Nectar - Bluffton (CHS),207 Bluffton Road,29910,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.237986,-80.860131,1,rooftop,207 Bluffton Rd,"Bluffton, SC 29910",207,Bluffton Rd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnlefkvejz5fy6bnxsacaxc2gf83
Sundown Saloon (CHS),95 Mathews Drive,29926,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.21104,-80.700752,1,rooftop,95 Mathews Dr,"Hilton Head Island, SC 29926",95,Mathews Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnnp5hl2mq29fvaut28rzm9uyup4
Shenanigans (CHS),1815 Old Trolley Road,29485,Summerville,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.956766,-80.164615,1,rooftop,1815 Old Trolley Rd,"Summerville, SC 29485",1815,Old Trolley Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usnss38eytdu49g8vj823rfe9npr5
Elks Lodge #242 - West Ashley (CHS),1113 Sam Rittenberg Boulevard,29407,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.824513,-79.990025,1,rooftop,1113 Sam Rittenberg Blvd,"Charleston, SC 29407",1113,Sam Rittenberg Blvd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usngraghaq6me4f9k3gtadkljh3s3
Hachiya Japanese (CHS),688 Citadel Haven Drive,29414,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.791998,-80.03369,1,rooftop,688 Citadel Haven Dr,"Charleston, SC 29414",688,Citadel Haven Dr,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usnhr962ntdflxdee25gke76ql6k8
Indy Karting SC (CHS),71 Towne Drive,29910,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.269668,-80.860037,1,rooftop,71 Towne Dr,"Bluffton, SC 29910",71,Towne Dr,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn9kwt3hjy5htq8smqtg84bb4xeb
Hunley's (CHS),1750 Savannah Highway,29407,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.788257,-80.019329,1,rooftop,1750 Savannah Hwy,"Charleston, SC 29407",1750,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaebxhn6s7sedd8s8
D'Fuskie's (CHS),360 Spanish Wells Road,29926,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.199576,-80.757389,1,rooftop,360 Spanish Wells Rd,"Hilton Head Island, SC 29926",360,Spanish Wells Rd,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnkb3shzhjmaqsd4s8mxkuqc6wg7
Upper Crust - Okat (CHS),30 William Pope Drive,29909-7516,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.296621,-80.949542,1,rooftop,30 William Pope Dr,"Bluffton, SC 29909",30,William Pope Dr,,,Bluffton,SC,Beaufort County,29909,US,Beaufort,gcod_usn2l6vhmnkrwc4dfsbngsxu5vpe3
Patriots Point Links (CHS),1 Patriots Point Road,29464,Mount Pleasant,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.787711,-79.898739,1,rooftop,1 Patriots Point Rd,"Mount Pleasant, SC 29464",1,Patriots Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnnxr62b4pg664fnqufvdnjwjuh3
Rollers Wine & Beer Palmetto (CHS),9 Palmetto Bay Road,29928-3203,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.156776,-80.764275,1,rooftop,9 Palmetto Bay Rd,"Hilton Head Island, SC 29928",9,Palmetto Bay Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnzax6rwbzbtjs7jt9pyp8habph8
Bordertown BBQ (CHS),2001 Boundary Street,29902,Beaufort,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.441106,-80.686519,1,rooftop,2001 Boundary St,"Beaufort, SC 29902",2001,Boundary St,,,Beaufort,SC,Beaufort County,29902,US,Beaufort,gcod_usntxkdzkapnxq33gt7wezjfbx7vf
Chas Crab House-Ji (CHS),145 Wappoo Creek Drive,29412,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.765559,-79.974833,1,rooftop,145 Wappoo Creek Dr,"Charleston, SC 29412",145,Wappoo Creek Dr,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usnbhvtvqknhwd5dlavdsb3drat5a
Latitude Margaritaville (CHS),3295 Latitude Boulevard,29927,Hardeeville,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.284586,-81.01182,1,rooftop,3295 Latitude Blvd,"Hardeeville, SC 29927",3295,Latitude Blvd,,,Hardeeville,SC,Jasper County,29927,US,Jasper,gcod_usnjayght2gfzdyh2nljpns5e2c59
All American Sports Bar (CHS),545 Belle Station Boulevard,29464,Mount Pleasant,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.843088,-79.854119,1,rooftop,545 Belle Station Blvd,"Mount Pleasant, SC 29464",545,Belle Station Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnenge7lprgvuvamrhh55be5ecd3
Dough Boys Pizza - Bluffton (CHS),1230 May River Road,29910,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.236782,-80.868567,1,rooftop,1230 May River Rd,"Bluffton, SC 29910",1230,May River Rd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn54a28cwj8hem9t83d3b2t9zmv9
Seacrest Beach Club Coligny (CHS),10 North Forest Beach Drive,29928,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.142536,-80.749174,1,rooftop,10 N Forest Beach Dr,"Hilton Head Island, SC 29928",10,N Forest Beach Dr,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usny6pafw6uftbth8635nzqshdymd
NYC Pizza - Bluffton Buckw (CHS),101 Buckwalter Place Boulevard,29910-5155,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.270532,-80.916747,1,rooftop,101 Buckwalter Place Blvd,"Bluffton, SC 29910",101,Buckwalter Place Blvd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnkr4gvcnpqhmk3wxgqvjuy2n88b
Sunset Pizzeria (CHS),2625 North Okatie Highway,29936,Ridgeland,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.336349,-80.929029,1,rooftop,2625 N Okatie Hwy,"Ridgeland, SC 29936",2625,N Okatie Hwy,,,Ridgeland,SC,Jasper County,29936,US,Jasper,gcod_usn9xzbeup4uqt83pbxl525u7lh48
Bonez Bar & Grill (CHS),1540 Fording Island Road,29926,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.235672,-80.806948,1,rooftop,1540 Fording Island Rd,"Hilton Head Island, SC 29926",1540,Fording Island Rd,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnf3n5v4gvbk8r7km5xczsw4lwnh
R Bar (CHS),70 Pennington Drive,29910-6056,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.260922,-80.857314,1,rooftop,70 Pennington Dr,"Bluffton, SC 29910",70,Pennington Dr,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnhjtzygdqsb26b88s97gwx2pcea
Sea Pines-Plantation (CHS),100 North Sea Pines Drive,29928-5803,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.126767,-80.788539,1,rooftop,100 N Sea Pines Dr,"Hilton Head Island, SC 29928",100,N Sea Pines Dr,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnegj8ruul5muffzp5awpuuwplve
SERG Catering (CHS),12 Capital Drive,29926,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Damn Yankee New England IPA,32.204262,-80.709041,1,rooftop,12 Capital Dr,"Hilton Head Island, SC 29926",12,Capital Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnal4rgj9tduph9qy7u9cqfb33rf
Oyster Reef (CHS),155 High Bluff Road,29926-1847,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.243772,-80.714175,1,rooftop,155 High Bluff Rd,"Hilton Head Island, SC 29926",155,High Bluff Rd,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usndejw2mw2vw7x6nxc96a5hjx7mg
Moss Creek (CHS),100 Devils Elbow Lane,29926-1165,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.251654,-80.814446,1,rooftop,100 Devils Elbow Ln,"Hilton Head Island, SC 29926",100,Devils Elbow Ln,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usn67pbphuqtn4d28qa24trny89vd
Palmetto Bluff Inn (CHS),Central Services Road,29910,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.21286,-80.725907,0.83,street_center,Central Ave,"Hilton Head Island, SC 29926",,Central Ave,,,Hilton Head Island,SC,Beaufort County,29926,US,TIGER/Line® dataset from the US Census Bureau,gcod_usskg3dk5ja67p88
HGC Shipyard (CHS),45 Shipyard Drive,29928-4942,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.15689,-80.745589,1,rooftop,45 Shipyard Dr,"Hilton Head Island, SC 29928",45,Shipyard Dr,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usndq6wkpyy5gdue4slbgu3udb5gf
Top Dawg Tavern - Sville (CHS),9512 Dorchester Road,29485,Summerville,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.937212,-80.141709,1,rooftop,9512 Dorchester Rd,"Summerville, SC 29485",9512,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usn8h8gaawezstt3e53uhhl3jw549
Jazz Corner (CHS),1000 William Hilton Parkway,29928-6136,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.159471,-80.755693,1,rooftop,1000 William Hilton Pkwy,"Hilton Head Island, SC 29928",1000,William Hilton Pkwy,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnf4g6dweq7zw5bpp8ek6dtjyrzg
Belfair Grill (CHS),200 Belfair Oaks Boulevard,29910-4881,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.28743,-80.855255,1,rooftop,200 Belfair Oaks Blvd,"Bluffton, SC 29910",200,Belfair Oaks Blvd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn8s5b73sgy8hxdcabz4rpmymzta
Pub On 61 (CHS),2366 Ashley River Road,29414,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.824624,-80.037847,1,rooftop,2366 Ashley River Rd,"Charleston, SC 29414",2366,Ashley River Rd,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usn7l5zh3aw5a9v66hq99rtqxdc55
Park Plaza Cinemas (CHS),33 Office Park Road,29928-4612,Hilton Head Island,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.151985,-80.767237,1,rooftop,33 Office Park Rd,"Hilton Head Island, SC 29928",33,Office Park Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnkgetvlln89s3gkvy2qy4b7rfnc
Hampton Hall Club (CHS),170 Hampton Hall Boulevard,29910-7824,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.244279,-80.920341,1,rooftop,170 Hampton Hall Blvd,"Bluffton, SC 29910",170,Hampton Hall Blvd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn8udu3m4y5gr394f4n5yql6tt56
Secession Golf Club (CHS),20 Gibbs Island Drive,29907,Beaufort,SC,Southern Barrel Brewing Company,Southern Barrel Helles,32.395336,-80.651023,1,rooftop,20 Gibbs Island Dr,"Ladys Island, SC 29907",20,Gibbs Island Dr,,,Ladys Island,SC,Beaufort County,29907,US,Beaufort,gcod_usnhclqslw49qqn66rex5tuxpeur4
Lumber Jills (CHS),4650 Ladson Road,29485,Summerville,SC,Southern Barrel Brewing Company,Southern Barrel Southern Helles Lager,32.954107,-80.162233,1,rooftop,4650 Ladson Rd,"Summerville, SC 29485",4650,Ladson Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usnmgr77dkcx6b3g2kf7thfuenjme
Hampton Inn - Mt P (CHS),255 Sessions Way,29464,Mount Pleasant,SC,Southern Barrel Brewing Company,Southern Barrel Wild Bramble Sour,32.800894,-79.896199,1,rooftop,255 Sessions Way,"Mount Pleasant, SC 29464",255,Sessions Way,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn39sbx8py5thu9l4lnys6w4a2tg
Extra Virgin Oven - Park Circle (CHS),1075 East Montague Avenue,29405,North Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Wild Bramble Sour,32.881299,-79.976973,1,rooftop,1075 E Montague Ave,"North Charleston, SC 29405",1075,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnd57utpkg2zx45fujckpenauj7a
Nantucket Market - Bluffton (CHS),1414 Fording Island Road,29910,Bluffton,SC,Southern Barrel Brewing Company,Southern Barrel Wild Bramble Sour,32.240355,-80.817683,1,rooftop,1414 US-278,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
Bedford Falls CHS (CHS),430 Meeting Street,29403-5526,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Wild Bramble Sour,32.793489,-79.938557,1,rooftop,430 Meeting St,"Charleston, SC 29403",430,Meeting St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnjbtkxpk6sfw96fte3fb43xe84g
Bay St Biergarten (CHS),549 East Bay Street,29403,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Wild Bramble Sour,32.792011,-79.931473,1,rooftop,549 E Bay St,"Charleston, SC 29403",549,E Bay St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn9nhveyx42tdrb7t9t9l2lvv4s7
The Dime - Daniel Island (CHS),30 River Landing Drive,29492,Charleston,SC,Southern Barrel Brewing Company,Southern Barrel Wild Bramble Sour,32.855462,-79.903619,1,rooftop,30 River Landing Dr,"Daniel Island, SC 29492",30,River Landing Dr,,,Daniel Island,SC,Berkeley County,29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
Sea Pines-Harbourside (CHS),149 Lighthouse Road,29928-4343,Hilton Head Island,SC,Southern Barrel Brewing Company,*Products Not mapped,32.138677,-80.81104,1,rooftop,149 Lighthouse Rd,"Hilton Head Island, SC 29928",149,Lighthouse Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnk2bqyergn4dk6gpsdgwh7xqheg
Sea Pines-Quarterdeck (CHS),149 Lighthouse Road,29928-4343,Hilton Head Island,SC,Southern Barrel Brewing Company,*Products Not mapped,32.138677,-80.81104,1,rooftop,149 Lighthouse Rd,"Hilton Head Island, SC 29928",149,Lighthouse Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnk2bqyergn4dk6gpsdgwh7xqheg
Doubletree of HHI (CHS),36 South Forest Beach Drive,29928,Hilton Head Island,SC,Southern Barrel Brewing Company,*Products Not mapped,32.139813,-80.759246,1,rooftop,36 S Forest Beach Dr,"Hilton Head Island, SC 29928",36,S Forest Beach Dr,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnkxl9jj2ratkxhfavleplfqmtmb
Whiskey Jack's (CHS),2049 Savannah Highway #100,29407,Charleston,SC,Southern Barrel Brewing Company,*Products Not mapped,32.789865,-80.031377,1,range_interpolation,2049 Savannah Hwy,"Charleston, SC 29407",2049,Savannah Hwy,Ste,100,Charleston,SC,Charleston County,29407,US,TIGER/Line® from the US Census Bureau,gcod_usn84spdtwcpkaebg8mmbss8pd7jd
Sea Pines-Beach Cl (CHS),87 North Sea Pines Drive,29928-6002,Hilton Head Island,SC,Southern Barrel Brewing Company,*Products Not mapped,32.125057,-80.786691,1,rooftop,87 N Sea Pines Dr,"Hilton Head Island, SC 29928",87,N Sea Pines Dr,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnegj8ruul5muffl6cqlr7fm3fm4
Bohemian Bull - Mt Pleasant (CHS),2668 North Highway 17,29466,Mount Pleasant,SC,Southern Barrel Brewing Company,*Products Not mapped,32.852607,-79.804843,1,rooftop,2668 N US-17,"Mount Pleasant, SC 29466",2668,N US-17,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usnzz3lpcxuumr38cje6skfaw5n72
May River Grill (CHS),350 Mount Pelia Road,29910,Bluffton,SC,Southern Barrel Brewing Company,*Products Not mapped,32.210941,-80.885638,1,rooftop,350 Mt Pelia Rd,"Bluffton, SC 29910",350,Mt Pelia Rd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn4y8ayln7p268fz4kkmtr97enr8
FH2 Cigars (GVL),3725 Grandview Drive,29680,Simpsonville,SC,Island Brands,Island Coastal Lager,34.72055,-82.257732,1,rooftop,3725 Grandview Dr,"Simpsonville, SC 29680",3725,Grandview Dr,,,Simpsonville,SC,Greenville County,29680,US,Greenville,gcod_usnjsvbs58qk4mmdk2kurwjsgal7e
Jack Browns Gvl (GVL),19 Augusta Street,29601,Greenville,SC,Island Brands,Island Coastal Lager,34.843917,-82.404601,1,rooftop,19 Augusta St,"Greenville, SC 29601",19,Augusta St,,,Greenville,SC,Greenville County,29601,US,Greenville,gcod_usnd6gdpbftzxk738njtv2d47sj7e
