"Visit Date",Team,"Dist. Rep.","Business Name","Visit Notes",Orders,"Image 1","Image 2","Image 3","Image 4"
"07/18/26 23:05:29ET",Coppock,,"Live Oak (CHS)","7/16 - Spoke with Matt and Taryn about bringing our brands in. They have two food and beverage outlets in the hotel, and about 18 lines. (3 are reserved for draft cocktails). They strictly only carry local beers, so they were interested in all 3 brands. Gave them the pricing sheet. They asked me to bring samples. 

7/17 - brought samples and did a tasting/ info session with all 3 managers (Kristen, Matt, Taryn). The samples included ICL, Island Active, Juice Juice, Dance Naked, Helles and Damn Yankee. They are very interested in Island Active. They also really enjoyed JJ, and Matt mentioned that Helles was a contender as well. They are going to finish some of their current inventory and discuss as a team what they would like to order. Will follow up early next week. 

We also discussed the possibility of a sponsorship, and possibly hosting a pool party or event with them. ",0,,,,
"07/17/26 19:58:26ET",Gallo,Rohal,"Agave Side Bar -Bluffton (CHS)","Great bar for Island Draft.. max is following up with bartenders with hats and coasters 
",0,,,,
"07/17/26 20:42:28ET",Kelley,Rohal,"Agave Side Bar -Bluffton (CHS)","Stopped by here to drop off buckets, hats, coasters, and stickers for them. They are extremely pleased with ICL!",0,,,,
"07/17/26 20:07:07ET",Mayer,Berardelli,"Art's (CHS)","Aug 22nd or 29th 90s school dance.  Going to carry 2taps for remainder of the year 1 can.  Coaster program and $250 for DJ/event sponsorship",0,,,,
"07/17/26 21:48:03ET",Coppock,Berardelli,"Art's (CHS)","
End of August Saturday  - school dance 90s theme 
Disco lights 
60-70 
$500 
Spoke with Jess. She wants to do a 90s dance end of August with a DJ and would like us to sponsor. (Deferred to Ben for approval.)

She would like to order 2 cases of juice juice, as they currently carry no IPA cans. . She may consider ordering Damn Yankee on draft in the future if the JJ does well. 

Jess also said that Island lager is doing great wants to keep it as a mainstay. ",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5a86f2dd410.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5a86f325fa8.jpg,,
"07/17/26 18:49:50ET",Kelley,,"British Open-Sher (CHS)","I stopped back in to try to speak with Damien. He was not there today and neither was his son. Bartender had a huge attitude with me for some reason",0,,,,
"07/18/26 02:14:31ET",Mayer,Coburn,"Charleston Sports Pub-Goose Creek (CHS)","Rescheduling 7/17 event which was not transferred on our Google Calendar when we switched platforms.",0,,,,
"07/17/26 14:28:05ET",Gallo,,"Food Lion #1326 (CHS)","Left our food Lion sell sheet for John- store mgr.  Decent size beer section. ",0,,,,
"07/17/26 14:15:04ET",Gallo,Wannamaker,"Gilligan's-Main/17 (CHS)","Met up with Chuck the bartender last night - ICL Active is pouring very well- customers are loving it.  Going to sponsor Music trivia. ",0,,,,
"07/17/26 18:13:38ET",Gallo,Daniels,"Kroger #499 (CHS)","No ICL but stocked with Damn Yankee. ",0,,,,
"07/17/26 16:19:22ET",Gallo,,"Kroger #703 (CHS Liq)","Great stock all skus - need ICL 2-12",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5a39e947f50.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5a39e9d733a.jpg,,
"07/17/26 19:21:20ET",Kelley,,"Local Pie-Riverside","Mark is not here today. It doesn’t look like they have anything from us on draft currently.",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5a648fc5287.jpg,,,
"07/17/26 20:36:09ET",Kelley,Rohal,"Nectar - Bluffton (CHS)","Just dropped off root beer for them from Southern Barrel. Alyssa says Yankee has been consistent recently. I know there were some slight issues with that but seems to be going OK",0,,,,
"07/17/26 14:18:27ET",Gallo,Campbell,"Parkers #87 (CHS)","Great placement of 19.2 - DY. - added another facing in open spot.  Pics are not loading -  will add later. ",0,,,,
"07/17/26 17:19:07ET",Kelley,,"Plums (CHS)","I checked back in with Kim via text message about bringing in some beers. She said she is pretty stocked up on Lagers right now. She is going to reach out when she needs something next.",0,,,,
"07/17/26 14:13:38ET",Gallo,Greegor,"Publix #1145 (CHS)","Solid stock of 2/12",0,,,,
"07/17/26 16:25:56ET",Gallo,Daniels,"Publix #1205 (CHS)","Great stock of ICl/ sB and lager 93 ",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5a3b73ee8e6.jpg,,,
"07/17/26 16:57:24ET",Gallo,CHS,"Publix #1714 (CHS)","OOS ICL ",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5a42d434e43.jpg,,,
"07/17/26 18:17:27ET",Gallo,Bunn,"Walmart #6395 (CHS)","Low ICL - great stock on DY. ",2,,,,
"07/16/26 19:39:13ET",Kelley,,"Cantaritos Mexican Kitchen (CHS)","Stopped by to check if I can get any other beers in here. They are not switching anything up at the moment.",0,,,,
"07/16/26 19:36:26ET",Mayer,Wannamaker,"Kickin' Chicken - Bees Ferry (CHS)","Spoke with Mike Muthard and Becca. They’re going to discuss potential options for a fall partnership.",0,,,,
"07/16/26 15:41:09ET",Hamilton,Orr,"Lowe's Foods #279 (CHS)","Low stock of ICL 4/6 (1 pack left). Good stock of chill

OOS RB JJ. Good stock of RB DN

Good stock of SB DY",2,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58df72e7f43.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58df73b5a24.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58df7470a64.jpg,
"07/16/26 17:17:24ET",Hamilton,Taylor,"Publix #1266 (CHS)","Great stock of ICL 2/12",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58f603664a1.jpg,,,
"07/16/26 16:27:12ET",Hamilton,Theos,"Publix #1775 (CHS)","Great stock of ICL 2/12. 

Great stock of SB DY

Great stock of RB 93 lager",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58ea3dd5a94.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58ea3e9cead.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58ea3f4d9ac.jpg,
"07/16/26 17:43:50ET",Hamilton,McDowell,"Publix #2038 (CHS)","Good stock of ICL 2/12 

Good stock of SB DY

I see that 93 lager has been sold in, but do not see it on the shelf yet",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58fc348a1af.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58fc35901e4.jpg,,
"07/16/26 19:41:46ET",Mayer,Wannamaker,"Shuckin Shack Oyster Bar - West Ash (CHS)","Still has our beer on, but it is slow shockingly slow",0,,,,
"07/16/26 19:30:38ET",Mayer,Berardelli,"Southern Roots - West Ashley (CHS)","Spoke to Travis he’s going to put together a list of events at each location that we  can piggyback on",0,,,,
"07/16/26 17:15:17ET",Hamilton,Wagoner,"Spinx #0317 (CHS)","Good stock of chill and ICL 2/12",1,,,,
"07/16/26 18:21:31ET",Hamilton,Kuffel,"Spinx #0350 (CHS)","Great stock of ICL 2/12. Need another case of Chill, but put in an order recently",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a59050967fcc.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a59050a2a499.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a59050b2393c.jpg,
"07/16/26 18:55:09ET",Hamilton,Kuffel,"Spinx #0351 (CHS)","Great stock of ICL. OOS of Strawberry Mango on Chill., but put in order last week and SCP is stocking right now",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a590ce9b3ed6.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a590ceb31af5.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a590cec71fa1.jpg,
"07/16/26 17:55:11ET",Hamilton,Wagoner,"Spinx #0355 (CHS)","Great stock of IcL 2/12 and Chill is well stocked. No order needed",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58fed9e348c.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58fedb83a9a.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58fedd8bbf1.jpg,
"07/16/26 16:38:23ET",Hamilton,Wagoner,"Spinx #0358 (CHS)","Good stock of ICL 2/12 and SM chill (ordering another sm chill)",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58ecdcb6a42.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58ecdda2bc4.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58ecde63514.jpg,
"07/16/26 18:41:08ET",Hamilton,Moore,"Walmart #3367 (CHS)","OOS ICL 2/12. Good stock of ICL 4/6

Good stock of SB DY",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5909a34f8ec.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a5909a40f948.jpg,,
"07/16/26 18:41:53ET",Hamilton,Moore,"Walmart #3367 (CHS)","OOS ICl 2/12",1,,,,
"07/16/26 16:04:49ET",Hamilton,Theos,"Walmart Market #3899 (CHS)","Low on Active. Good stock of ICL 4/6 and ICL 2/12",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a58e500eb2c2.jpg,,,
"07/15/26 18:04:47ET",Kelley,Rohal,"1711 Taphouse (CHS)","Stop by and dropped off Yankee stickers for their tap handle and also a chill sample as she requested. ",0,,,,
"07/15/26 21:42:59ET",Coppock,Menard,"Bedford Falls CHS (CHS)","Met with Brian and he wants to place an order for the Dance Naked half barrel. He also needs a tap handle and requested it be dropped off by Friday. ",1,,,,
"07/15/26 20:41:31ET",Gallo,Mathias,"Bottles Beverage - Mt Pleasant (CHS)","Great stock of RB and SB-  low on ICL ",2,,,,
"07/15/26 18:41:00ET",Mayer,Livingston,"Drop In (CHS)","Spoke with Chris bartender, Kristina is the owner, makes beer decisions.  Sent her an email and text to connect",0,,,,
"07/15/26 21:22:22ET",Gallo,Jackson,"Get Carried Away (CHS)","Left sell sheet and samples - would be a great account for all our brands. Will follow up next week.",0,,,,
"07/15/26 19:59:09ET",Kelley,Rohal,"Hampton Lake (CHS)","I was supposed to meet Aaron here today. When I showed up, he texted me that he got caught in a meeting last minute. He wants me to email him inventory and pricing so we can put together an order.",0,,,,
"07/15/26 22:17:56ET",Kelley,Rohal,"Hampton Lake (CHS)","Spoke with Aaron via text and he just placed an order.",2,,,,
"07/15/26 20:15:34ET",Gallo,Mathias,"Harris Teeter #19 (CHS)","Great stock on all skus",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a57ce45cbeac.jpg,,,
"07/15/26 15:03:10ET",Gallo,Scruggs,"Harris Teeter #277 (CHS)","Met up with Rep Freddie- worked ICL 6 packs in local section.  Good on everything else ",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a57850da489c.jpg,,,
"07/15/26 20:54:17ET",Gallo,Mathias,"Harris Teeter #457 (CHS)","Solid stock of all skus and a stacker of Active ",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a57d7588efe0.jpg,,,
"07/15/26 20:58:32ET",Gallo,Menard,"Iggy's Pizza (CHS)","Left a note for Katy for Tipsy. Perfect spot for it ",0,,,,
"07/15/26 19:32:15ET",Mayer,Coburn,"Lowdown Oven & Bar (CHS)","Currently carrying ICL, also supposed to be carrying juice juice. Mentioned it to you manager he’s gonna pick it up dropped off the coasters.",0,,,,
"07/15/26 21:15:07ET",Gallo,Berardelli,"My Fathers Moustache - Mt P (CHS)","Can was not in but will call Joey about this account. ",0,,,,
